@relation 2014_Detail_Commodity

@attribute 'Commodity Code' {1111A0,1111B0,111200,111300,111400,111900,112120,1121A0,112300,112A00,113000,114000,115000,211000,212100,212230,2122A0,212310,2123A0,213111,21311A,221100,221200,221300,230301,230302,233210,233230,233240,233262,2332A0,2332C0,2332D0,233411,233412,2334A0,311111,311119,311210,311221,311224,311225,311230,311300,311410,311420,311513,311514,31151A,311520,311615,31161A,311700,311810,3118A0,311910,311920,311930,311940,311990,312110,312120,312130,312140,312200,313100,313200,313300,314110,314120,314900,315000,316000,321100,321200,321910,3219A0,322110,322120,322130,322210,322220,322230,322291,322299,323110,323120,324110,324121,324122,324190,325110,325120,325130,325180,325190,325211,3252A0,325310,325320,325411,325412,325413,325414,325510,325520,325610,325620,325910,3259A0,326110,326120,326130,326140,326150,326160,326190,326210,326220,326290,327100,327200,327310,327320,327330,327390,327400,327910,327991,327992,327993,327999,331110,331200,331313,33131B,331410,331420,331490,331510,331520,332114,332119,33211A,332200,332310,332320,332410,332420,332430,332500,332600,332710,332720,332800,332913,33291A,332991,332996,332999,33299A,333111,333112,333120,333130,333242,33329A,333314,333316,333318,333413,333414,333415,333511,333514,333517,33351B,333611,333612,333613,333618,333912,33391A,333920,333991,333993,333994,33399A,33399B,334111,334112,334118,334210,334220,334290,334300,334413,334418,33441A,334510,334511,334512,334513,334514,334515,334516,334517,33451A,334610,335110,335120,335210,335221,335222,335224,335228,335311,335312,335313,335314,335911,335912,335920,335930,335991,335999,336111,336112,336120,336211,336212,336213,336214,336310,336320,336350,336360,336370,336390,3363A0,336411,336412,336413,336414,33641A,336500,336611,336612,336991,336992,336999,337110,337121,337122,337127,33712N,337215,33721A,337900,339112,339113,339114,339115,339116,339910,339920,339930,339940,339950,339990,4200ID,423100,423400,423600,423800,423A00,424200,424400,424700,424A00,425000,441000,444000,445000,446000,447000,448000,452000,454000,481000,482000,483000,484000,485000,486000,48A000,491000,492000,493000,4B0000,511110,511120,511130,5111A0,511200,512100,512200,515100,515200,517110,517210,517A00,518200,519130,5191A0,522A00,523900,523A00,524113,5241XX,524200,525000,52A000,531HSO,531HST,531ORE,532100,532400,532A00,533000,541100,541200,541300,541400,541511,541512,54151A,541610,5416A0,541700,541800,541920,541940,5419A0,550000,561100,561200,561300,561400,561500,561600,561700,561900,562000,611100,611A00,611B00,621100,621200,621300,621400,621500,621600,621900,622000,623A00,623B00,624100,624400,624A00,711100,711200,711500,711A00,712000,713100,713200,713900,721000,722110,722211,722A00,811100,811200,811300,811400,812100,812200,812300,812900,813100,813A00,813B00,814000}
@attribute 'Commodity Name' {'Fresh soybeans, canola, flaxseeds, and other oilseeds','Fresh wheat, corn, rice, and other grains','Fresh vegetables, melons, and potatoes','Fresh fruits and tree nuts','Greenhouse crops, mushrooms, nurseries, and flowers','Tobacco, cotton, sugarcane, peanuts, sugar beets, herbs and spices, and other crops',Dairies,'Cattle ranches and feedlots','Poultry farms','Animal farms and aquaculture ponds (except cattle and poultry)','Timber and raw forest products','Wild-caught fish and game','Agriculture and forestry support','Unrefined oil and gas',Coal,'Copper, nickel, lead, and zinc','Iron, gold, silver, and other metal ores','Dimensional stone','Sand, gravel, clay, phosphate, other nonmetallic minerals','Well drilling','Other support activities for mining',Electricity,'Natural gas','Drinking water and wastewater treatment','Nonresidential maintenance and repair','Residential maintenance and repair','Health care structures','Manufacturing structures','Power and communication structures','Educational and vocational structures','Commercial structures, including farm structures','Transportation structures and highways and streets','Other nonresidential structures','Single-family residential structures','Multifamily residential structures','Other residential structures','Dog and cat food','Other animal food','Flours and malts','Corn products','Soybean and other oilseed processing','Refined vegetable, olive, and seed oils','Breakfast cereals','Sugar, candy, and chocolate','Frozen food','Fruit and vegetable preservation',Cheese,'Dry, condensed, and evaporated dairy','Fluid milk and butter','Ice cream and frozen desserts','Packaged poultry','Packaged meat (except poultry)',Seafood,'Bread and other baked goods','Cookies, crackers, pastas, and tortillas','Snack foods','Coffee and tea','Flavored drink concentrates','Seasonings and dressings','All other foods','Soft drinks, bottled water, and ice','Breweries and beer','Wineries and wine','Distilleries and spirits','Tobacco products','Fiber, yarn, and thread',Fabric,'Finished and coated fabric','Carpets and rugs','Curtains and linens','Other textiles',Clothing,Leather,'Lumber and treated lumber','Plywood and veneer','Wooden windows, door, and flooring','Veneer, plywood, and engineered wood','Wood pulp',Paper,Cardboard,'Cardboard containers','Paper bags and coated paper',Stationery,'Sanitary paper (tissues, napkins, diapers, etc.)','All other converted paper products','Books, newspapers, magazines, and other print media','Printing support','Gasoline, fuels, and by-products of petroleum refining','Asphalt pavement','Asphalt shingles','Other petroleum and coal products',Petrochemicals,'Compressed Gases','Synthetic dyes and pigments','Other basic inorganic chemicals','Other basic organic chemicals',Plastics,'Synthetic rubber and artificial and synthetic fibers',Fertilizers,Pesticides,'Medicinal and botanical ingredients','Pharmaceutical products (pills, powders, solutions, etc.)','Blood sugar, pregnancy, and other diagnostic test kits','Vaccines and other biological medical products','Paints and coatings',Adhesives,'Soap and cleaning compounds',Toiletries,'Ink and ink cartridges','Chemicals (except basic chemicals, agrichemicals, polymers, paints, pharmaceuticals,soaps, cleaning compounds)','Plastic bags, films, and sheets','Plastic pipe, fittings, and sausage casings','Laminated plastic plates and shapes','Polystyrene foam products','Urethane and other foam products','Plastic bottles','Other plastic products','Rubber tires','Rubber and plastic belts and hoses','Other rubber products','Clay and ceramic products','Glass and glass products',Cement,'Ready-mix concrete','Concrete pipe, bricks, and blocks','Other concrete products','Lime and gypsum products','Abrasive products','Cut stone and stone products','Ground or treated minerals and earth','Mineral wool','Other nonmetallic mineral products','Primary iron, steel, and ferroalloy products','Secondary steel products','Alumina refining and primary aluminum production','Aluminum products','Nonferrous Metal (except Aluminum) Smelting and Refining','Secondary copper products','Other secondary nonferrous metal products','Cast iron and steel','Nonferrous metal casts','Custom metal rolls','Metal crown, closure, and other metal stamping (except automotive)','All other forging, stamping, and sintering','Cutlery and handtools','Metal structural products','Metal windows, doors, and architectural products','Power boilers and heat exchangers','Heavy gauge metal tanks','Light gauge metal cans, boxes, and containers','Metal hinges, keys, lock, and other hardware','Springs and wires','Machine shops','Screws, nuts, and bolts','Metal coatings, engravings, and heat treatments','Metal plumbing drains, faucets, valves, and other fittings','Valve and fittings (except for plumbing)','Ball and roller bearings','Fabricated pipe and pipe fittings','Other fabricated metal manufacturing','Ammunition, arms, ordnance, and related accessories','Farm machinery and equipment','Lawn and garden equipment','Construction machinery','Mining and oil/gas field machinery','Semiconductor machinery','Machinery for the paper, textile, food or other industries (except semiconductor machinery)','Optical instruments and lenses','Photography and photocopying equipment','Other commercial and service industry machinery','Industrial and commercial fan and blower and air purification equipment','Heating equipment other than warm air furnaces','Air conditioning, refrigeration, and warm air heating equipment','Industrial molds','Special tools, dies, jigs, and fixtures','Machine tool manufacturing','Cutting and machine tool accessory, rolling mill, and other metalworking machines','Turbines and turbine generator sets','Speed changers, industrial high-speed drives, and gears','Mechanical power transmission equipment','Other engine equipment','Air and gas compressors','Pumps and pumping equipment','Material handling equipment','Power tools','Packaging machinery','Industrial process furnaces and ovens','Welding and Soldering Equipment, Scales and Balances, and other general purpose machinery','Hydraulic pumps, motors, cylinders and actuators',Computers,'Computer storage device readers','Computer terminals and other computer peripheral equipment',Telephones,'Wireless communications','Communications equipment','Audio and video equipment',Semiconductors,'Printed circuit and electronic assembly','Electronic capacitors, resistors, coils, transformers, connectors and other components (except  semiconductors and printed circuit assemblies)','Electromedical appartuses','Navigation instruments','Automatic controls for HVAC and refrigeration equipment','Industrial process variable instruments','Fluid meters and counting devices','Signal testing instruments','Analytical laboratory instruments','Irradiation apparatuses','Watches, clocks, and other measuring and controlling devices','External hard drives, CDs, other storage media','Light bulbs','Light fixtures','Small electrical appliances','Home cooking appliances','Home refrigerators and freezers','Home laundry machines','Major home appliances (except ovens, stoves, refrigerators and laundry machines)','Specialty transformers','Motors and generators','Switchgear and switchboards','Relay and industrial controls','Storage batteries','Primary batteries','Communication and energy wire and cable','Wiring devices','Carbon and graphite products','other miscellaneous electrical equipment and components',Automobiles,'Pickup trucks, vans, and SUVs','Heavy duty trucks','Vehicle bodies','Truck trailers','Motor homes','Travel trailer and campers','Vehicle engines and engine parts','Vehicle electrical and electronic equipment','Transmission and power train parts','Vehicle seating and interior trim (upholstery)','Vehicle metal stamping','Other vehicle parts','Motor vehicle steering, suspension components (except spring), and brake systems',Aircraft,'Aircraft engines and parts','Other aircraft parts','Guided missiles and space vehicles','Propulsion units and parts for space vehicles and guided missiles','Railroad rolling stock','Ships and ship repair',Boats,'Motorcycle, bicycle, and parts','Military armored vehicles and tanks','Other transportation equipment','Wood kitchen cabinets and countertops','Home furniture - upholstered','Home furniture - wood, nonupholstered','Institutional furniture','Other household nonupholstered furniture','Shelving and lockers','Office furniture and custom architectural woodwork and millwork','Mattresses, blinds and shades','Surgical and medical instruments','Surgical appliance and supplies','Dental equipment and supplies','Ophthalmic goods','Dental laboratories','Jewelry and silverware','Sporting and athletic goods','Dolls, toys, and games','Office supplies (not paper)',Signs,'Gaskets, seals, musical instruments, fasteners, brooms, brushes, mop and other misc. goods','Customs duties','Motor vehicle and motor vehicle parts and supplies','Professional and commercial equipment and supplies','Household appliances and electrical and electronic goods','Machinery, equipment, and supplies','Other durable goods merchant wholesalers','Drugs and druggists’ sundries','Grocery and related product wholesalers','Petroleum and petroleum products','Other nondurable goods merchant wholesalers','Wholesale electronic markets and agents and brokers','Vehicles and parts sales','Building material and garden equipment and supplies dealers','Food and beverage stores','Health and personal care stores','Gasoline stations','Clothing and clothing accessories stores','General merchandise stores','Nonstore retailers','Air transport','Rail transport','Water transport (boats, ships, ferries)','Truck transport','Passenger ground transport','Pipeline transport','Scenic and sightseeing transportation and support activities for transportation','Postal service','Couriers and messengers',Warehousing,'All other retail',Newspapers,'Magazines and journals',Books,'Directory, mailing list, and other publishers',Software,'Movies and film','Sound recording','Radio and television','Cable and subscription programming',Telecommunications,'Wireless telecommunications','Satellite, telecommunications resellers, and all other telecommunications','Data processing and hosting','Internet publishing and broadcasting','News syndicates, libraries, archives, Internet publishing and all other information services','Nondepository credit intermediation and related activities','Investment advice, portfolio management, and other financial advising services','Securities and commodities brokerage and exchanges','Direct life insurance carriers','Insurance carriers, except direct life','Insurance agencies and brokerages','Funds, trusts, and financial vehicles','Monetary authorities and depository credit intermediation','Owner-occupied housing','Tenant-occupied housing','Other real estate','Vehicle rental and leasing','Commercial equipment rental','Consumer goods and general rental centers','Lessors of nonfinancial intangible assets','Legal services','Accounting, tax preparation, bookkeeping, and payroll','Architectural, engineering, and related services','Specialized design','Custom computer programming','Computer systems design','Other computer related services, including facilities management','Management consulting','Environmental and other technical consulting services','Scientific research and development','Advertising and public relations',Photographers,Veterinarians,'Marketing research and all other miscellaneous professional, scientific, and technical services','Company and enterprise management','Office administration','Facilities support','Employment services','Business support','Travel arrangement and reservation','Investigation and security','Buildings and dwellings services','Other support services','Waste management and remediation','Elementary and secondary schools','Colleges, universities, junior colleges, and professional schools','Other educational services',Physicians,Dentists,'Healthcare practitioners (except physicians and dentists)','Outpatient healthcare','Medical laboratories','Home healthcare',Ambulances,Hospitals,'Nursing and community care facilities','Residential mental retardation, mental health, substance abuse and other facilities','Individual and family services','Child day care','Community food, housing, and other relief services, including rehabilitation services',Performances,Sports,'Independent artists, writers, and performers','Promoters and agents','Museums, historical sites, zoos, and parks','Amusement parks and arcades','Gambling establishments (except casino hotels)','Golf courses, marinas, ski resorts, fitness and other rec centers and industries','Hotels and campgrounds','Full-service restaurants','Limited-service restaurants','All other food and drinking places','Vehicle repair','Electronic  equipment repair and maintenance','Commercial machinery repair','Household goods repair','Salons and barber shops','Funerary services','Dry-cleaning and laundry','Pet care, photofinishing, parking and other sundry services','Religious organizations','Grantmaking, giving, and social advocacy organizations','Civic, social, professional, and similar organizations','Household employees'}
@attribute Substance {'carbon dioxide',methane,'nitrous oxide','other GHGs'}
@attribute Unit {'kg/2018 USD, purchaser price','kg CO2e/2018 USD, purchaser price'}
@attribute 'Supply Chain Emission Factors without Margins' numeric
@attribute 'Margins of Supply Chain Emission Factors' numeric
@attribute 'Supply Chain Emission Factors with Margins' numeric
@attribute 'Unnamed: 7' string
@attribute 'DQ ReliabilityScore of Factors without Margins' numeric
@attribute 'DQ TemporalCorrelation of Factors without Margins' numeric
@attribute 'DQ GeographicalCorrelation of Factors without Margins' numeric
@attribute 'DQ TechnologicalCorrelation of Factors without Margins' numeric
@attribute 'DQ DataCollection of Factors without Margins' numeric

@data
336213,'Motor homes','nitrous oxide','kg/2018 USD, purchaser price',0,0,0,?,4,2,1,3,1
336213,'Motor homes','other GHGs','kg CO2e/2018 USD, purchaser price',0.032,0,0.032,?,4,2,1,4,1
336214,'Travel trailer and campers','carbon dioxide','kg/2018 USD, purchaser price',0.375,0.068,0.443,?,3,2,1,3,1
336214,'Travel trailer and campers',methane,'kg/2018 USD, purchaser price',0.001,0,0.002,?,4,2,1,1,1
336214,'Travel trailer and campers','nitrous oxide','kg/2018 USD, purchaser price',0,0,0,?,4,2,1,2,1
336214,'Travel trailer and campers','other GHGs','kg CO2e/2018 USD, purchaser price',0.039,0,0.039,?,3,2,1,3,1
336310,'Vehicle engines and engine parts','carbon dioxide','kg/2018 USD, purchaser price',0.301,0.057,0.357,?,3,2,1,3,1
336310,'Vehicle engines and engine parts',methane,'kg/2018 USD, purchaser price',0.001,0,0.001,?,4,2,1,1,1
336310,'Vehicle engines and engine parts','nitrous oxide','kg/2018 USD, purchaser price',0,0,0,?,3,2,1,3,1
336310,'Vehicle engines and engine parts','other GHGs','kg CO2e/2018 USD, purchaser price',0.013,0,0.013,?,3,2,1,2,1
336320,'Vehicle electrical and electronic equipment','carbon dioxide','kg/2018 USD, purchaser price',0.303,0.095,0.398,?,3,2,1,3,1
336320,'Vehicle electrical and electronic equipment',methane,'kg/2018 USD, purchaser price',0.001,0,0.001,?,4,2,1,1,1
336320,'Vehicle electrical and electronic equipment','nitrous oxide','kg/2018 USD, purchaser price',0,0,0,?,3,2,1,3,1
336320,'Vehicle electrical and electronic equipment','other GHGs','kg CO2e/2018 USD, purchaser price',0.014,0,0.014,?,3,2,1,2,1
336350,'Transmission and power train parts','carbon dioxide','kg/2018 USD, purchaser price',0.201,0.03,0.231,?,3,2,1,3,1
336350,'Transmission and power train parts',methane,'kg/2018 USD, purchaser price',0.001,0,0.001,?,4,2,1,1,1
336350,'Transmission and power train parts','nitrous oxide','kg/2018 USD, purchaser price',0,0,0,?,3,2,1,3,1
336350,'Transmission and power train parts','other GHGs','kg CO2e/2018 USD, purchaser price',0.012,0,0.012,?,3,2,1,2,1
336360,'Vehicle seating and interior trim (upholstery)','carbon dioxide','kg/2018 USD, purchaser price',0.264,0.02,0.285,?,3,2,1,3,1
336360,'Vehicle seating and interior trim (upholstery)',methane,'kg/2018 USD, purchaser price',0.001,0,0.001,?,4,2,1,1,1
336360,'Vehicle seating and interior trim (upholstery)','nitrous oxide','kg/2018 USD, purchaser price',0,0,0,?,4,2,1,3,1
336360,'Vehicle seating and interior trim (upholstery)','other GHGs','kg CO2e/2018 USD, purchaser price',0.02,0,0.02,?,4,2,1,4,1
336370,'Vehicle metal stamping','carbon dioxide','kg/2018 USD, purchaser price',0.428,0.017,0.445,?,3,2,1,2,1
336370,'Vehicle metal stamping',methane,'kg/2018 USD, purchaser price',0.002,0,0.002,?,4,2,1,1,1
336370,'Vehicle metal stamping','nitrous oxide','kg/2018 USD, purchaser price',0,0,0,?,3,2,1,3,1
336370,'Vehicle metal stamping','other GHGs','kg CO2e/2018 USD, purchaser price',0.012,0,0.012,?,3,2,1,3,1
336390,'Other vehicle parts','carbon dioxide','kg/2018 USD, purchaser price',0.342,0.057,0.399,?,3,2,1,3,1
336390,'Other vehicle parts',methane,'kg/2018 USD, purchaser price',0.001,0,0.001,?,4,2,1,1,1
336390,'Other vehicle parts','nitrous oxide','kg/2018 USD, purchaser price',0,0,0,?,3,2,1,3,1
336390,'Other vehicle parts','other GHGs','kg CO2e/2018 USD, purchaser price',0.016,0,0.016,?,3,2,1,3,1
3363A0,'Motor vehicle steering, suspension components (except spring), and brake systems','carbon dioxide','kg/2018 USD, purchaser price',0.28,0.053,0.332,?,3,2,1,3,1
3363A0,'Motor vehicle steering, suspension components (except spring), and brake systems',methane,'kg/2018 USD, purchaser price',0.001,0,0.001,?,4,2,1,1,1
3363A0,'Motor vehicle steering, suspension components (except spring), and brake systems','nitrous oxide','kg/2018 USD, purchaser price',0,0,0,?,3,2,1,3,1
3363A0,'Motor vehicle steering, suspension components (except spring), and brake systems','other GHGs','kg CO2e/2018 USD, purchaser price',0.011,0,0.011,?,3,2,1,2,1
336411,Aircraft,'carbon dioxide','kg/2018 USD, purchaser price',0.083,0.007,0.09,?,3,2,1,3,1
336411,Aircraft,methane,'kg/2018 USD, purchaser price',0,0,0,?,4,2,1,1,1
336411,Aircraft,'nitrous oxide','kg/2018 USD, purchaser price',0,0,0,?,3,2,1,3,1
336411,Aircraft,'other GHGs','kg CO2e/2018 USD, purchaser price',0.006,0,0.006,?,3,2,1,2,1
336412,'Aircraft engines and parts','carbon dioxide','kg/2018 USD, purchaser price',0.072,0.01,0.082,?,3,2,1,3,1
336412,'Aircraft engines and parts',methane,'kg/2018 USD, purchaser price',0,0,0,?,3,2,1,1,1
336412,'Aircraft engines and parts','nitrous oxide','kg/2018 USD, purchaser price',0,0,0,?,3,2,1,3,1
336412,'Aircraft engines and parts','other GHGs','kg CO2e/2018 USD, purchaser price',0.003,0,0.003,?,3,2,1,2,1
336413,'Other aircraft parts','carbon dioxide','kg/2018 USD, purchaser price',0.065,0.005,0.07,?,3,2,1,3,1
336413,'Other aircraft parts',methane,'kg/2018 USD, purchaser price',0,0,0,?,4,2,1,1,1
336413,'Other aircraft parts','nitrous oxide','kg/2018 USD, purchaser price',0,0,0,?,3,2,1,3,1
336413,'Other aircraft parts','other GHGs','kg CO2e/2018 USD, purchaser price',0.007,0,0.007,?,2,2,1,2,1
336414,'Guided missiles and space vehicles','carbon dioxide','kg/2018 USD, purchaser price',0.096,0.007,0.103,?,3,2,1,3,1
336414,'Guided missiles and space vehicles',methane,'kg/2018 USD, purchaser price',0,0,0,?,3,2,1,1,1
336414,'Guided missiles and space vehicles','nitrous oxide','kg/2018 USD, purchaser price',0,0,0,?,3,2,1,3,1
336414,'Guided missiles and space vehicles','other GHGs','kg CO2e/2018 USD, purchaser price',0.004,0,0.004,?,2,2,1,2,1
33641A,'Propulsion units and parts for space vehicles and guided missiles','carbon dioxide','kg/2018 USD, purchaser price',0.104,0.008,0.112,?,3,2,1,4,1
33641A,'Propulsion units and parts for space vehicles and guided missiles',methane,'kg/2018 USD, purchaser price',0,0,0,?,3,2,1,1,1
33641A,'Propulsion units and parts for space vehicles and guided missiles','nitrous oxide','kg/2018 USD, purchaser price',0,0,0,?,3,2,1,3,1
33641A,'Propulsion units and parts for space vehicles and guided missiles','other GHGs','kg CO2e/2018 USD, purchaser price',0.003,0,0.003,?,3,2,1,2,1
336500,'Railroad rolling stock','carbon dioxide','kg/2018 USD, purchaser price',0.265,0.023,0.288,?,3,2,1,3,1
336500,'Railroad rolling stock',methane,'kg/2018 USD, purchaser price',0.001,0,0.001,?,4,2,1,1,1
336500,'Railroad rolling stock','nitrous oxide','kg/2018 USD, purchaser price',0,0,0,?,3,2,1,3,1
336500,'Railroad rolling stock','other GHGs','kg CO2e/2018 USD, purchaser price',0.007,0,0.007,?,3,2,1,2,1
336611,'Ships and ship repair','carbon dioxide','kg/2018 USD, purchaser price',0.149,0.008,0.157,?,3,2,1,3,1
336611,'Ships and ship repair',methane,'kg/2018 USD, purchaser price',0.001,0,0.001,?,3,2,1,1,1
336611,'Ships and ship repair','nitrous oxide','kg/2018 USD, purchaser price',0,0,0,?,3,2,1,3,1
336611,'Ships and ship repair','other GHGs','kg CO2e/2018 USD, purchaser price',0.007,0,0.007,?,3,2,1,2,1
336612,Boats,'carbon dioxide','kg/2018 USD, purchaser price',0.185,0.07,0.255,?,3,2,1,3,1
336612,Boats,methane,'kg/2018 USD, purchaser price',0.001,0,0.001,?,3,2,1,1,1
336612,Boats,'nitrous oxide','kg/2018 USD, purchaser price',0,0,0,?,3,2,1,3,1
336612,Boats,'other GHGs','kg CO2e/2018 USD, purchaser price',0.008,0,0.008,?,3,2,1,2,1
336991,'Motorcycle, bicycle, and parts','carbon dioxide','kg/2018 USD, purchaser price',0.08,0.058,0.138,?,3,2,1,3,1
336991,'Motorcycle, bicycle, and parts',methane,'kg/2018 USD, purchaser price',0,0,0.001,?,4,2,1,1,1
336991,'Motorcycle, bicycle, and parts','nitrous oxide','kg/2018 USD, purchaser price',0,0,0,?,3,2,1,3,1
336991,'Motorcycle, bicycle, and parts','other GHGs','kg CO2e/2018 USD, purchaser price',0.013,0,0.013,?,2,2,1,1,1
336992,'Military armored vehicles and tanks','carbon dioxide','kg/2018 USD, purchaser price',0.184,0.008,0.192,?,3,2,1,3,1
336992,'Military armored vehicles and tanks',methane,'kg/2018 USD, purchaser price',0.001,0,0.001,?,4,2,1,1,1
336992,'Military armored vehicles and tanks','nitrous oxide','kg/2018 USD, purchaser price',0,0,0,?,3,2,1,3,1
336992,'Military armored vehicles and tanks','other GHGs','kg CO2e/2018 USD, purchaser price',0.013,0,0.013,?,2,2,1,1,1
336999,'Other transportation equipment','carbon dioxide','kg/2018 USD, purchaser price',0.249,0.061,0.31,?,3,2,1,3,1
336999,'Other transportation equipment',methane,'kg/2018 USD, purchaser price',0.001,0,0.001,?,4,2,1,1,1
336999,'Other transportation equipment','nitrous oxide','kg/2018 USD, purchaser price',0,0,0,?,3,2,1,3,1
336999,'Other transportation equipment','other GHGs','kg CO2e/2018 USD, purchaser price',0.01,0,0.01,?,3,2,1,2,1
337110,'Wood kitchen cabinets and countertops','carbon dioxide','kg/2018 USD, purchaser price',0.158,0.099,0.257,?,3,2,1,3,1
337110,'Wood kitchen cabinets and countertops',methane,'kg/2018 USD, purchaser price',0.001,0,0.001,?,3,2,1,1,1
337110,'Wood kitchen cabinets and countertops','nitrous oxide','kg/2018 USD, purchaser price',0,0,0,?,3,2,1,3,1
337110,'Wood kitchen cabinets and countertops','other GHGs','kg CO2e/2018 USD, purchaser price',0.006,0,0.006,?,3,2,1,3,1
337121,'Home furniture - upholstered','carbon dioxide','kg/2018 USD, purchaser price',0.246,0.239,0.485,?,3,2,1,3,1
337121,'Home furniture - upholstered',methane,'kg/2018 USD, purchaser price',0.001,0.002,0.002,?,3,2,1,1,1
337121,'Home furniture - upholstered','nitrous oxide','kg/2018 USD, purchaser price',0,0,0,?,4,2,1,3,1
337121,'Home furniture - upholstered','other GHGs','kg CO2e/2018 USD, purchaser price',0.04,0,0.04,?,4,2,1,4,1
337122,'Home furniture - wood, nonupholstered','carbon dioxide','kg/2018 USD, purchaser price',0.283,0.784,1.067,?,3,2,1,3,1
337122,'Home furniture - wood, nonupholstered',methane,'kg/2018 USD, purchaser price',0.001,0.005,0.006,?,4,2,1,1,1
337122,'Home furniture - wood, nonupholstered','nitrous oxide','kg/2018 USD, purchaser price',0,0,0,?,3,2,1,3,1
337122,'Home furniture - wood, nonupholstered','other GHGs','kg CO2e/2018 USD, purchaser price',0.013,0,0.013,?,3,2,1,4,1
337127,'Institutional furniture','carbon dioxide','kg/2018 USD, purchaser price',0.299,0.228,0.527,?,3,2,1,3,1
337127,'Institutional furniture',methane,'kg/2018 USD, purchaser price',0.001,0.002,0.003,?,4,2,1,1,1
337127,'Institutional furniture','nitrous oxide','kg/2018 USD, purchaser price',0,0,0,?,3,2,1,3,1
337127,'Institutional furniture','other GHGs','kg CO2e/2018 USD, purchaser price',0.016,0,0.016,?,3,2,1,2,1
33712N,'Other household nonupholstered furniture','carbon dioxide','kg/2018 USD, purchaser price',0.331,0.484,0.815,?,3,2,1,3,1
33712N,'Other household nonupholstered furniture',methane,'kg/2018 USD, purchaser price',0.001,0.003,0.004,?,4,2,1,1,1
33712N,'Other household nonupholstered furniture','nitrous oxide','kg/2018 USD, purchaser price',0,0,0,?,3,2,1,3,1
33712N,'Other household nonupholstered furniture','other GHGs','kg CO2e/2018 USD, purchaser price',0.032,0,0.032,?,3,2,1,2,1
337215,'Shelving and lockers','carbon dioxide','kg/2018 USD, purchaser price',0.354,0.181,0.535,?,3,2,1,3,1
337215,'Shelving and lockers',methane,'kg/2018 USD, purchaser price',0.001,0.002,0.003,?,4,2,1,1,1
337215,'Shelving and lockers','nitrous oxide','kg/2018 USD, purchaser price',0,0,0,?,3,2,1,3,1
337215,'Shelving and lockers','other GHGs','kg CO2e/2018 USD, purchaser price',0.013,0,0.013,?,3,2,1,2,1
33721A,'Office furniture and custom architectural woodwork and millwork','carbon dioxide','kg/2018 USD, purchaser price',0.26,0.091,0.351,?,3,2,1,3,1
33721A,'Office furniture and custom architectural woodwork and millwork',methane,'kg/2018 USD, purchaser price',0.001,0.001,0.002,?,3,2,1,1,1
33721A,'Office furniture and custom architectural woodwork and millwork','nitrous oxide','kg/2018 USD, purchaser price',0,0,0,?,3,2,1,3,1
33721A,'Office furniture and custom architectural woodwork and millwork','other GHGs','kg CO2e/2018 USD, purchaser price',0.012,0,0.012,?,3,2,1,3,1
337900,'Mattresses, blinds and shades','carbon dioxide','kg/2018 USD, purchaser price',0.236,0.288,0.525,?,3,2,1,3,1
337900,'Mattresses, blinds and shades',methane,'kg/2018 USD, purchaser price',0.001,0.002,0.003,?,3,2,1,1,1
337900,'Mattresses, blinds and shades','nitrous oxide','kg/2018 USD, purchaser price',0,0,0,?,4,2,1,3,1
337900,'Mattresses, blinds and shades','other GHGs','kg CO2e/2018 USD, purchaser price',0.062,0,0.062,?,4,2,1,5,1
339112,'Surgical and medical instruments','carbon dioxide','kg/2018 USD, purchaser price',0.146,0.047,0.192,?,3,2,1,3,1
339112,'Surgical and medical instruments',methane,'kg/2018 USD, purchaser price',0.001,0,0.001,?,3,2,1,1,1
339112,'Surgical and medical instruments','nitrous oxide','kg/2018 USD, purchaser price',0,0,0,?,4,2,1,3,1
339112,'Surgical and medical instruments','other GHGs','kg CO2e/2018 USD, purchaser price',0.004,0,0.004,?,3,2,1,3,1
339113,'Surgical appliance and supplies','carbon dioxide','kg/2018 USD, purchaser price',0.159,0.107,0.266,?,3,2,1,3,1
339113,'Surgical appliance and supplies',methane,'kg/2018 USD, purchaser price',0.001,0,0.001,?,3,2,1,1,1
339113,'Surgical appliance and supplies','nitrous oxide','kg/2018 USD, purchaser price',0,0,0,?,4,2,1,3,1
339113,'Surgical appliance and supplies','other GHGs','kg CO2e/2018 USD, purchaser price',0.005,0,0.005,?,3,2,1,3,1
339114,'Dental equipment and supplies','carbon dioxide','kg/2018 USD, purchaser price',0.192,0.053,0.245,?,3,2,1,3,1
339114,'Dental equipment and supplies',methane,'kg/2018 USD, purchaser price',0.001,0,0.001,?,4,2,1,1,1
339114,'Dental equipment and supplies','nitrous oxide','kg/2018 USD, purchaser price',0,0,0,?,3,2,1,3,1
339114,'Dental equipment and supplies','other GHGs','kg CO2e/2018 USD, purchaser price',0.008,0,0.008,?,4,2,1,2,1
339115,'Ophthalmic goods','carbon dioxide','kg/2018 USD, purchaser price',0.126,0.252,0.378,?,3,2,1,3,1
339115,'Ophthalmic goods',methane,'kg/2018 USD, purchaser price',0,0.001,0.001,?,3,2,1,1,1
339115,'Ophthalmic goods','nitrous oxide','kg/2018 USD, purchaser price',0,0,0,?,3,2,1,3,1
339115,'Ophthalmic goods','other GHGs','kg CO2e/2018 USD, purchaser price',0.002,0,0.002,?,3,2,1,3,1
339116,'Dental laboratories','carbon dioxide','kg/2018 USD, purchaser price',0.122,0.04,0.161,?,3,2,1,3,1
